abscissa/x-coordinate	横坐标
ordinate	纵坐标
xy-planes	xy平面坐标轴
number line	数轴
origin	原点
origin O	坐标原点O
axis	轴
x-axis	x轴
y-axis	y轴
intercept	截距
x-intercept	x轴截距
quadrant	象限
four quadrants	四个象限
slope	斜率
a unique solution	唯一解
parabola	抛物线
linear functions	线性函数
#List
feet	英尺
1 dozen = 12	1打 = 12个
1 feet = 12 inches	1英尺 = 12英寸
1 gallon = 4 quarts	1加仑 = 4夸脱
1 hour = 3600 seconds	1小时 = 3600秒
1 mile = 5280 feet	1英里 = 5280英尺
1 yard = 3 feet = 36 inches	1码 = 3英尺 = 36英寸
0! = 1! = 1
多边形的内角和 = （n-2）*180
S三 = 1/2底 * 高
S梯 = （上底+下底）* h/2
圆周长 = 2πr
S圆 = πr方
弧长 = （X/360) * 圆周长
S立方体 = 6a方
S圆柱 = 2πr（r+h）
V长 = 长*宽*高
V圆柱 = πr方h
V圆锥 = 1/3πr方h
等差数列an = a1+（n-1）d
等差求和Sn = n（a1+an）/2 = na1+n(n-1)d/2
等比数列an = a1q（n-1）方
等比求和Sn = a1（1-qn方）/(1-q)	q不等于1
利息 = principle(本金)*interest rate(利率)*time
#List
be fewer than	小于
be less than	小于
Twice as many A as B	A是B的两倍
The ratio of A to B is ...	A比B(A/B)
A diminished by B / A minus B / from A subtract B	A减去B
A multiplied by B	A乘以B
A divided by B	A/B
A divided into B	B/A
A is 20% less than B	(B-A)/B = 20%
A is 20% more than B	(A-B)/B = 20%
A is a divisor of B	A是B的除数(约数)(B/A)
be direct(inverse) proportion at/to	成反比
A is subset of B	A是B的子集
be more than twice as many X in A as in B	A里面的X是B里面X的2倍以上
l and m are perpendicular	线l与线m垂直
be proportional to	与..成比例的
be drawn to scale	按比例绘制
#List
balance	余额
cost of production	产品成本
approximate cost	估算成本，约计成本
down payment	预付定金，首付款
installment	分期付款
discount	折扣率
charter	租赁，包租，执照，特许
charge	收费
principal	本金
simple interest	单利
compound interest	复利
gross profit	毛利
retail price	零售价
sales revenue	销售额
sales taxes	营业税，销售税
property tax	财产税
list price	标价
margin	利润，付定金
mark up	涨价
purchases	销售数量
rebate	退还款，折扣
pointer	指针
project	预测，估计
corresponding value	对应值
mutual fund	共同基金
expected value	期望值，预期值
intensity	强度
intercalary/leap year	闰年
lifetime	寿命
reflection	镜射
simplification	简化
simplified	简化的
sketch	草图，示意图
survey	调查
solid color	纯色
concentration	浓度
weighted mean	加重量于...，使变重
yields	产量
central tendency	集中趋势
tie	打平
#List
blot out	涂掉，删掉
buck	一美元，一澳元
dime	一角，十分
clockwise	顺时针
constant rate	匀速的
cumulative	累积的，附加的
defined	已定义的
categories	种类
in excess of	超过
in term of	用...的话，用...来表示
in turn	依次，轮流
distinct point	不同点
nearest 0.1 percent	最接近0.1%
inclusive	包括在内的
alongside	和...一起
preceding	在...前的，先前的
simultaneously	同时
respectively	各自地，分别地
per capita	按照人数分配的，每人
wall	（容器的）壁
truckload	一卡车的容量
denote	表示
